region,distributor,counter_type,day_time_type,rate_occurrence,cost_type,,kva_range_low,kva_range_high,amount_eur,amount_eur_tincl,time_of_day_start,time_of_day_end,date_start,date_end
wal,ores_luxembourg,,,annual_per_kw,prosumer,Tarif prosumer,,,62.44339623,66.19,,, 2024-01-01, 2024-12-31
wal,ores_mouscron,,simple,per_kwh,distribution_simple,Coûts de distribution - Simple,,,0.08556603774,0.0907,,, 2024-01-01, 2024-12-31
wal,ores_mouscron,,day,per_kwh,distribution_day,Coûts de distribution - Jour,,,0.0908490566,0.0963,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
wal,ores_mouscron,,night,per_kwh,distribution_night,Coûts de distribution - Nuit,,,0.05339622642,0.0566,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
wal,ores_mouscron,,night_excl,per_kwh,distribution_night_excl,Coûts de distribution - Exclusif nuit,,,0.04386792453,0.0465,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
wal,ores_mouscron,,,per_kwh,transport,Coûts de transport,,,0.02556603774,0.0271,,, 2024-01-01, 2024-12-31
wal,ores_mouscron,,,annual,management,"Tarif gestion des données/
Activités de mesure et de
comptage/Terme fixe ",,,12.83018868,13.6,,, 2024-01-01, 2024-12-31
wal,ores_mouscron,,,annual_per_kw,prosumer,Tarif prosumer,,,62.44339623,66.19,,, 2024-01-01, 2024-12-31
wal,ores_namur,,simple,per_kwh,distribution_simple,Coûts de distribution - Simple,,,0.08556603774,0.0907,,, 2024-01-01, 2024-12-31
wal,ores_namur,,day,per_kwh,distribution_day,Coûts de distribution - Jour,,,0.0908490566,0.0963,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
wal,ores_namur,,night,per_kwh,distribution_night,Coûts de distribution - Nuit,,,0.05339622642,0.0566,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
wal,ores_namur,,night_excl,per_kwh,distribution_night_excl,Coûts de distribution - Exclusif nuit,,,0.04386792453,0.0465,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
wal,ores_namur,,,per_kwh,transport,Coûts de transport,,,0.02556603774,0.0271,,, 2024-01-01, 2024-12-31
