distributor,counter_type,peak_enabled,day_time_type,rate_occurrence,cost_type,amount_eur,tax_pct,time_of_day_start,time_of_day_end,kw_from,kw_to,date_start,date_end,,,
sibelga,simple,,,annual,distribution,26.71,6,,,0,13,2022-03-01,2022-12-31,if installed power  <= 13kVA,,
sibelga,simple,,,annual,distribution,53.41,6,,,13,,2022-03-01,2022-12-31,if installed power  > 13kVA,,
sibelga,,,,per_kwh,road_fee,0.0072420,6,,,,,2022-03-01,2022-12-31,,,
sibelga,,,,per_kwh,corp_tax,0.0040770,6,,,,,2022-03-01,2022-12-31,,,
sibelga,,,,per_kwh,other_tax,0.00100000,6,,,,,2022-03-01,2022-12-31,,,
sibelga,,,,per_kwh,public_service,0.011979,6,,,,,2022-03-01,2022-12-31,,,
sibelga,,,,per_kwh,transport,0.01126180,6,,,,,2022-03-01,2022-12-31,,,
sibelga,,,,monthly,accise,4.74801887,6,,,,,2022-03-01,2022-12-31,,4.748018868,5.03290
sibelga,,,,per_kwh,energy_contribution,0.00192642,6,,,,,2022-03-01,2022-12-31,,0.001926415094,0.0020420
sibelga,,,,per_kwh,green_certs,0.02669811,6,,,,,2022-03-01,2022-12-31,,0.02669811321,0.0283
,,,,,,,,,,,,,,,,
sibelga,smart,false,,annual,management,10.15,6,,,,,2023-01-01,2023-12-31,,,
sibelga,smart,false,day,per_kwh,distribution_day,0.051606,6,7:00:00,22:00:00,,,2023-01-01,2023-12-31,,,
sibelga,smart,false,night,per_kwh,distribution_night,0.030964,6,22:00:00,7:00:00,,,2023-01-01,2023-12-31,,,
sibelga,smart,false,,annual,distribution,26.96,6,,,0,13,2023-01-01,2023-12-31,if installed power  <= 13kVA,,
sibelga,smart,false,,annual,distribution,53.91,6,,,13,,2023-01-01,2023-12-31,if installed power  > 13kVA,,
sibelga,smart,true,,annual,management,516.02,6,,,,,2023-01-01,2023-12-31,,,
sibelga,smart,true,day,per_kwh,distribution_day,0.0206420,6,7:00:00,22:00:00,,,2023-01-01,2023-12-31,,,
sibelga,smart,true,night,per_kwh,distribution_night,0.0068050,6,22:00:00,7:00:00,,,2023-01-01,2023-12-31,,,
sibelga,smart,true,,annual_per_kw,peak,61.5900240,6,,,,,2023-01-01,2023-12-31,monthly peak,,
sibelga,simple,,,annual,management,258.01,6,,,,,2023-01-01,2023-12-31,,,
sibelga,simple,,day,per_kwh,distribution_day,0.051606,6,7:00:00,22:00:00,,,2023-01-01,2023-12-31,,,
sibelga,simple,,night,per_kwh,distribution_night,0.030964,6,22:00:00,7:00:00,,,2023-01-01,2023-12-31,,,
sibelga,simple,,,annual,distribution,26.96,6,,,0,13,2023-01-01,2023-12-31,if installed power  <= 13kVA,,
sibelga,simple,,,annual,distribution,53.91,6,,,13,,2023-01-01,2023-12-31,if installed power  > 13kVA,,
sibelga,,,,per_kwh,road_fee,0.0079390,6,,,,,2023-01-01,2023-12-31,,,
sibelga,,,,per_kwh,corp_tax,0.0043130,6,,,,,2023-01-01,2023-12-31,,,
sibelga,,,,per_kwh,other_tax,0.00089800,6,,,,,2023-01-01,2023-12-31,,,
sibelga,,,,per_kwh,public_service,0.014178,6,,,,,2023-01-01,2023-12-31,,,
sibelga,,,,per_kwh,transport,0.01101320,6,,,,,2023-01-01,2023-12-31,,,
sibelga,,,,monthly,accise,4.74801887,6,,,,,2023-01-01,2023-12-31,,4.748018868,5.03290
sibelga,,,,per_kwh,energy_contribution,0.00192642,6,,,,,2023-01-01,2023-12-31,,0.001926415094,0.0020420
sibelga,,,,per_kwh,green_certs,0.02669811,6,,,,,2023-01-01,2023-12-31,,0.02669811321,0.0283
,,,,,,,,,,,,,,,,
sibelga,smart,false,,annual,management,10.11,6,,,,,2024-01-01,2024-12-31,,,
sibelga,smart,false,day,per_kwh,distribution_day,0.053202,6,7:00:00,22:00:00,,,2024-01-01,2024-12-31,,,
sibelga,smart,false,night,per_kwh,distribution_night,0.031921,6,22:00:00,7:00:00,,,2024-01-01,2024-12-31,,,
sibelga,smart,false,,annual,distribution,27.38,6,,,0,13,2024-01-01,2024-12-31,if installed power  <= 13kVA,,
sibelga,smart,false,,annual,distribution,54.76,6,,,13,,2024-01-01,2024-12-31,if installed power  > 13kVA,,
sibelga,smart,true,,annual,management,513.68,6,,,,,2024-01-01,2024-12-31,,,
sibelga,smart,true,day,per_kwh,distribution_day,0.0212810,6,7:00:00,22:00:00,,,2024-01-01,2024-12-31,,,
sibelga,smart,true,night,per_kwh,distribution_night,0.0078750,6,22:00:00,7:00:00,,,2024-01-01,2024-12-31,,,
sibelga,smart,true,,annual_per_kw,peak,64.7953560,6,,,,,2024-01-01,2024-12-31,monthly peak,,
sibelga,simple,,,annual,management,256.84,6,,,,,2024-01-01,2024-12-31,,,
sibelga,simple,,day,per_kwh,distribution_day,0.053202,6,7:00:00,22:00:00,,,2024-01-01,2024-12-31,,,
sibelga,simple,,night,per_kwh,distribution_night,0.031921,6,22:00:00,7:00:00,,,2024-01-01,2024-12-31,,,
sibelga,simple,,,annual,distribution,27.38,6,,,0,13,2024-01-01,2024-12-31,if installed power  <= 13kVA,,
